epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/custom_cls_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/custom_cls_loss,lr/pg0,lr/pg1,lr/pg2
1,241.867,3.516,5.00991,3.13193,3.89611,0.74366,0.07208,0.04523,0.01583,0.16188,0.6033,0.01516,2.53722,2.89212,2.12313,3.6688,0.00332731,0.00332731,0.00332731
2,483.605,2.26942,2.71089,1.85353,3.76972,0.16788,0.11656,0.09858,0.04164,0.11382,0.55476,0.01111,2.16385,2.47714,1.80044,3.58333,0.0065947,0.0065947,0.0065947
3,725.917,2.04205,2.30671,1.65147,3.76777,0.33202,0.10598,0.07728,0.03614,0.0801,0.44025,0.00097,2.08391,2.5955,1.73988,3.80346,0.00979609,0.00979609,0.00979609
4,975.538,1.92037,2.14305,1.5608,3.76829,0.36099,0.16654,0.1494,0.07452,0.07968,0.47699,0.01256,1.83902,2.01319,1.57386,3.5298,0.009703,0.009703,0.009703
5,1231.49,1.83755,2.0295,1.49917,3.72272,0.22633,0.16292,0.14614,0.07209,0.07593,0.45857,0.00692,1.82782,2.16626,1.5527,3.5676,0.009604,0.009604,0.009604
6,1479.48,1.77175,1.96894,1.46595,3.68729,0.22899,0.22183,0.17625,0.08847,0.08546,0.48133,0.01626,1.68821,1.85726,1.46654,3.42936,0.009505,0.009505,0.009505
7,1739.64,1.73913,1.91381,1.44175,3.69605,0.26369,0.24115,0.19448,0.1022,0.0803,0.46258,0.01972,1.6482,1.79742,1.45893,3.50619,0.009406,0.009406,0.009406
8,2015.09,1.70852,1.86476,1.42513,3.64144,0.28298,0.2499,0.20757,0.1103,0.07902,0.4696,0.02207,1.63329,1.74315,1.43071,3.40597,0.009307,0.009307,0.009307
9,2308.09,1.70358,1.85481,1.41179,3.64495,0.26858,0.26958,0.21737,0.11373,0.08527,0.48354,0.03129,1.60116,1.71713,1.40438,3.41018,0.009208,0.009208,0.009208
10,2609.87,1.67764,1.82172,1.39286,3.63816,0.30119,0.28574,0.22898,0.12008,0.09015,0.49896,0.02895,1.59215,1.68654,1.40299,3.36083,0.009109,0.009109,0.009109
11,2886.81,1.66742,1.80508,1.38782,3.63459,0.28569,0.28844,0.2321,0.12348,0.09271,0.50207,0.02524,1.57367,1.6763,1.38917,3.35114,0.00901,0.00901,0.00901
12,3230.01,1.66626,1.79218,1.37893,3.58972,0.29636,0.29727,0.24152,0.12882,0.09723,0.50941,0.03496,1.5541,1.64293,1.37449,3.33083,0.008911,0.008911,0.008911
13,3521.85,1.65664,1.77233,1.37617,3.5661,0.30313,0.30669,0.24497,0.13162,0.10231,0.5199,0.04107,1.54351,1.64209,1.36147,3.3159,0.008812,0.008812,0.008812
14,3875.99,1.63385,1.74199,1.36238,3.57875,0.32835,0.3149,0.25737,0.13848,0.10611,0.52744,0.04059,1.53859,1.62934,1.36218,3.34819,0.008713,0.008713,0.008713
