epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/classify_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/classify_loss,lr/pg0,lr/pg1,lr/pg2
1,1124.08,3.74587,5.43259,3.38199,2.39238,0.77497,0.08845,0.07051,0.02641,0.20543,0.75606,0.05021,2.36657,2.81968,2.09312,2.37396,0.00332731,0.00332731,0.00332731
2,2363.7,2.23576,2.65289,1.87451,2.34362,0.70216,0.12268,0.12021,0.05571,0.11028,0.70446,0.05159,1.9584,2.18662,1.75374,2.32045,0.00663866,0.00663866,0.00663866
3,3383.49,2.00668,2.25776,1.65555,2.31458,0.67761,0.13334,0.12378,0.0575,0.07992,0.76303,0.02716,1.91372,2.22693,1.65434,2.30252,0.00992801,0.00992801,0.00992801
4,4313.63,1.88317,2.10032,1.5524,2.31157,0.33756,0.16177,0.13814,0.06712,0.01834,0.71068,0.00865,1.90955,2.06186,1.64718,2.31194,0.009901,0.009901,0.009901
5,5437.91,1.79522,1.97692,1.4962,2.30591,0.39735,0.22229,0.17545,0.09075,0.14761,0.7625,0.0741,1.73605,1.83498,1.5252,2.26084,0.009868,0.009868,0.009868
6,6696.32,1.74188,1.8891,1.45335,2.2931,0.42548,0.23351,0.19873,0.10205,0.12497,0.69545,0.08055,1.65819,1.75171,1.49033,2.26193,0.009835,0.009835,0.009835
7,7655.42,1.70747,1.84458,1.44274,2.28304,0.27169,0.24249,0.20921,0.10958,0.1327,0.75628,0.06459,1.63359,1.71046,1.46043,2.25361,0.009802,0.009802,0.009802
8,8603.96,1.67963,1.80114,1.42071,2.27377,0.27525,0.26052,0.21016,0.11122,0.06865,0.78985,0.06175,1.61165,1.69847,1.44476,2.21348,0.009769,0.009769,0.009769
9,9512.78,1.66016,1.77356,1.40873,2.26454,0.31855,0.28568,0.2331,0.12314,0.1489,0.75874,0.08835,1.58099,1.63923,1.42596,2.18821,0.009736,0.009736,0.009736
10,10481.9,1.64453,1.75657,1.39911,2.27254,0.29792,0.28772,0.2336,0.12477,0.04023,0.62401,0.06188,1.55948,1.6332,1.4148,2.25874,0.009703,0.009703,0.009703
11,11593.1,1.63164,1.73276,1.39225,2.25559,0.31637,0.30364,0.25046,0.13448,0.12411,0.76561,0.10275,1.54977,1.60715,1.40462,2.16008,0.00967,0.00967,0.00967
12,12778.1,1.61783,1.71458,1.38222,2.24914,0.32508,0.31035,0.25531,0.13665,0.15565,0.82,0.10376,1.54705,1.58181,1.40345,2.1567,0.009637,0.009637,0.009637
13,13784.8,1.60408,1.69579,1.37148,2.24746,0.35136,0.30934,0.26981,0.14406,0.15501,0.83437,0.10037,1.53218,1.57172,1.39735,2.18375,0.009604,0.009604,0.009604
14,14647.1,1.59747,1.68783,1.36961,2.25605,0.35009,0.32086,0.2732,0.14748,0.14042,0.79833,0.10057,1.52206,1.557,1.38892,2.17677,0.009571,0.009571,0.009571
15,15610.3,1.58468,1.67616,1.35992,2.24304,0.34853,0.32556,0.27366,0.14738,0.19395,0.80916,0.12742,1.50559,1.54541,1.38428,2.17987,0.009538,0.009538,0.009538
