epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/classify_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/classify_loss,lr/pg0,lr/pg1,lr/pg2
1,651.389,3.86217,5.68142,3.55885,2.3391,0.23813,0.07174,0.03867,0.01279,0.39037,0.87707,0.05105,2.66916,3.12047,2.2622,2.07675,0.00332731,0.00332731,0.00332731
2,1292.75,2.35062,2.8585,1.94674,1.79786,0.04546,0.08409,0.02659,0.01103,0.38597,0.88919,0.05356,2.66612,4.92282,2.29366,1.90534,0.00663866,0.00663866,0.00663866
3,1922.04,2.04924,2.31953,1.68082,1.70834,0.74651,0.11678,0.11228,0.05486,0.39037,0.88897,0.05105,1.92975,2.50843,1.71115,1.76193,0.00992801,0.00992801,0.00992801
4,2554.42,1.91688,2.15082,1.57155,1.70174,0.37206,0.17171,0.15114,0.07638,0.38929,0.88919,0.0539,1.83358,1.97211,1.57139,1.75912,0.009901,0.009901,0.009901
5,3196.98,1.82412,2.03648,1.51157,1.69761,0.41322,0.21099,0.17567,0.09052,0.39101,0.88929,0.05158,1.71279,1.85795,1.49599,1.76209,0.009868,0.009868,0.009868
6,3830.18,1.77146,1.95919,1.46614,1.69056,0.23378,0.21822,0.18148,0.09139,0.39262,0.89144,0.05349,1.69843,1.84859,1.50101,1.72589,0.009835,0.009835,0.009835
7,4465.77,1.73225,1.90421,1.45169,1.68768,0.25813,0.23551,0.1921,0.10131,0.39112,0.89283,0.05175,1.64563,1.75658,1.46151,1.71996,0.009802,0.009802,0.009802
8,5095.76,1.70304,1.85825,1.42672,1.67968,0.26643,0.23952,0.19276,0.10148,0.40828,0.89755,0.07054,1.62734,1.76995,1.44174,1.72323,0.009769,0.009769,0.009769
9,5724.75,1.68339,1.82951,1.41368,1.67277,0.29564,0.25617,0.21216,0.11245,0.42008,0.89455,0.08915,1.62066,1.6949,1.4404,1.74365,0.009736,0.009736,0.009736
10,6352.54,1.66785,1.80325,1.4051,1.67142,0.27979,0.28557,0.22378,0.11886,0.4174,0.89884,0.07521,1.57745,1.67031,1.41437,1.70206,0.009703,0.009703,0.009703
11,6981.96,1.6502,1.78356,1.39759,1.66858,0.29263,0.2811,0.22612,0.12051,0.40109,0.89477,0.06044,1.5651,1.64828,1.40278,1.68642,0.00967,0.00967,0.00967
