epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/classify_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/classify_loss,lr/pg0,lr/pg1,lr/pg2
1,652.18,3.89751,5.67491,3.56742,2.39793,0.23287,0.06248,0.02493,0.00799,0.26668,0.75842,0.06323,2.75108,3.33235,2.35199,2.4349,0.00332731,0.00332731,0.00332731
2,1292.87,2.35969,2.87166,1.94863,2.33774,0.2625,0.05928,0.04748,0.0194,0.13388,0.77269,0.06181,2.54915,2.74247,2.14372,2.3193,0.00663866,0.00663866,0.00663866
3,1922.19,2.05554,2.32027,1.68198,2.31315,0.82753,0.10666,0.10303,0.04532,0.03797,0.6578,0.03199,2.09413,2.71533,1.80353,2.27333,0.00992801,0.00992801,0.00992801
4,2554.74,1.91823,2.14254,1.56986,2.31102,0.3773,0.15905,0.14116,0.07135,0.10041,0.77666,0.06969,1.82463,2.00317,1.6003,2.28601,0.009901,0.009901,0.009901
5,3196.91,1.82738,2.0349,1.5114,2.30493,0.39445,0.22424,0.17658,0.0915,0.11789,0.71766,0.08168,1.7211,1.83407,1.50684,2.27688,0.009868,0.009868,0.009868
6,3831.02,1.77183,1.95223,1.46516,2.29045,0.23611,0.21951,0.18477,0.09472,0.11199,0.74362,0.07348,1.66079,1.82927,1.46976,2.2607,0.009835,0.009835,0.009835
7,4467.67,1.73179,1.89618,1.4512,2.28425,0.24263,0.23217,0.19224,0.10097,0.13366,0.66542,0.06857,1.63191,1.73444,1.45276,2.21273,0.009802,0.009802,0.009802
8,5096.44,1.70314,1.85189,1.42822,2.26535,0.25793,0.24832,0.19852,0.10539,0.07316,0.69481,0.06329,1.63019,1.7308,1.45045,2.27445,0.009769,0.009769,0.009769
9,5728.11,1.68615,1.82274,1.41473,2.26272,0.268,0.29033,0.22071,0.11737,0.14954,0.81249,0.09674,1.59194,1.66073,1.42264,2.19717,0.009736,0.009736,0.009736
10,6355.56,1.6702,1.79808,1.4054,2.26558,0.29717,0.28197,0.22633,0.12012,0.09912,0.76657,0.08521,1.58008,1.67027,1.40814,2.21923,0.009703,0.009703,0.009703
11,6985.21,1.65376,1.77699,1.39703,2.24673,0.29291,0.29624,0.23482,0.12398,0.13023,0.76818,0.10735,1.55588,1.64205,1.39975,2.1726,0.00967,0.00967,0.00967
12,7608.98,1.63963,1.75595,1.38582,2.23322,0.30894,0.30034,0.23906,0.12689,0.14782,0.80133,0.11096,1.55365,1.62441,1.39142,2.14927,0.009637,0.009637,0.009637
13,8244.91,1.62072,1.73655,1.37289,2.22754,0.33048,0.30392,0.2537,0.13537,0.15072,0.81957,0.10862,1.52449,1.61047,1.37779,2.13408,0.009604,0.009604,0.009604
14,8870.7,1.61648,1.72386,1.37066,2.22386,0.32538,0.31204,0.25528,0.13636,0.09022,0.73729,0.09321,1.5163,1.58677,1.37399,2.18198,0.009571,0.009571,0.009571
15,9498.47,1.60669,1.70995,1.36215,2.21891,0.33865,0.31348,0.26551,0.1433,0.19298,0.81935,0.12763,1.51234,1.57163,1.36867,2.12743,0.009538,0.009538,0.009538
16,10129.5,1.60522,1.70571,1.36086,2.20241,0.34491,0.31435,0.26549,0.1429,0.17378,0.81849,0.12577,1.49955,1.57305,1.3599,2.10279,0.009505,0.009505,0.009505
17,10763.5,1.59456,1.69166,1.35534,2.19422,0.34037,0.32169,0.27066,0.14699,0.15136,0.80841,0.12009,1.4896,1.56192,1.35493,2.12246,0.009472,0.009472,0.009472
18,11388.3,1.58652,1.67846,1.34932,2.18605,0.35292,0.32332,0.2763,0.15155,0.16638,0.82675,0.12274,1.48653,1.54336,1.35131,2.10273,0.009439,0.009439,0.009439
19,12018.3,1.58112,1.67462,1.34835,2.18072,0.35043,0.33232,0.28135,0.15359,0.15512,0.80508,0.12245,1.48453,1.53811,1.34782,2.09299,0.009406,0.009406,0.009406
