epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,908.845,1.82555,3.55648,1.38189,0.81204,0.09011,0.04737,0.02537,1.5512,58.9767,1.17898,0.00332841,0.00332841,0.00332841
2,1803.69,1.72252,2.58063,1.27083,0.15075,0.04881,0.03876,0.01982,1.62241,8.01053,1.19502,0.00663976,0.00663976,0.00663976
3,2718.78,1.77723,2.24073,1.283,0.3206,0.07324,0.04891,0.02487,1.61606,52.3639,1.21402,0.00992911,0.00992911,0.00992911
4,3641.49,1.77045,2.07047,1.28121,0.38557,0.07047,0.06003,0.03183,1.49388,17.1601,1.14173,0.009901,0.009901,0.009901
5,4519.41,1.69604,1.94868,1.24583,0.30374,0.15281,0.08131,0.04433,1.43953,34.4798,1.09025,0.009868,0.009868,0.009868
6,5468.47,1.66146,1.88683,1.22511,0.35379,0.07672,0.05862,0.03225,1.52868,37.53,1.12993,0.009835,0.009835,0.009835
7,6370.61,1.62823,1.84015,1.21116,0.41885,0.14617,0.09743,0.05467,1.39563,24.494,1.06841,0.009802,0.009802,0.009802
8,7285.7,1.61144,1.81185,1.20596,0.36505,0.14559,0.11465,0.06455,1.3721,8.33308,1.06985,0.009769,0.009769,0.009769
9,8210.14,1.59949,1.78253,1.19697,0.37552,0.16399,0.1224,0.0694,1.36182,4.01337,1.05007,0.009736,0.009736,0.009736
10,9112.52,1.58193,1.76432,1.19226,0.34702,0.13389,0.12143,0.07011,1.34684,10.5563,1.05368,0.009703,0.009703,0.009703
11,10020.6,1.5697,1.7407,1.1873,0.40923,0.17853,0.13416,0.07711,1.3325,4.75835,1.04833,0.00967,0.00967,0.00967
12,10932.6,1.56029,1.72782,1.18273,0.36277,0.16212,0.13852,0.08291,1.32142,3.88697,1.0387,0.009637,0.009637,0.009637
13,11816.6,1.5617,1.71988,1.18189,0.48243,0.16875,0.1403,0.08218,1.31565,3.08903,1.03724,0.009604,0.009604,0.009604
14,12711.8,1.54886,1.70416,1.17463,0.42574,0.17406,0.15674,0.09891,1.30373,4.79109,1.03093,0.009571,0.009571,0.009571
