epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,800.428,1.79431,3.28491,1.33699,0.20455,0.19702,0.15162,0.07791,1.48946,49.6509,1.11788,0.00332841,0.00332841,0.00332841
2,1584.04,1.71054,2.33376,1.25581,0.22387,0.16532,0.11857,0.05967,1.59604,9.29561,1.19169,0.00663976,0.00663976,0.00663976
3,2431.74,1.77881,2.11468,1.27799,0.37963,0.17514,0.14155,0.06709,1.62511,156.282,1.2362,0.00992911,0.00992911,0.00992911
4,3311.98,1.76979,2.04351,1.27774,0.2243,0.24216,0.17243,0.08838,1.52593,37.9962,1.16058,0.009901,0.009901,0.009901
5,4211.34,1.69382,1.92731,1.24557,0.26819,0.26293,0.19801,0.10268,1.46156,29.7645,1.09519,0.009868,0.009868,0.009868
6,5133.11,1.65487,1.86884,1.22363,0.26718,0.2844,0.21988,0.11613,1.41549,28.9985,1.08523,0.009835,0.009835,0.009835
7,6025.41,1.62653,1.82137,1.21082,0.30165,0.28721,0.22847,0.12174,1.40541,24.148,1.06664,0.009802,0.009802,0.009802
8,6952.63,1.60746,1.79588,1.20193,0.31913,0.30753,0.2505,0.13481,1.36561,12.6905,1.0627,0.009769,0.009769,0.009769
9,7876.92,1.59104,1.76673,1.19405,0.32658,0.314,0.2641,0.13955,1.35157,9.40672,1.04916,0.009736,0.009736,0.009736
10,8781.65,1.57861,1.74511,1.18847,0.34037,0.31161,0.26763,0.14286,1.34596,5.76048,1.04936,0.009703,0.009703,0.009703
11,9691.86,1.57083,1.7259,1.18583,0.35027,0.32464,0.28205,0.15385,1.33428,5.70261,1.03933,0.00967,0.00967,0.00967
12,10612.7,1.55804,1.71332,1.18093,0.34865,0.33522,0.29218,0.15848,1.31638,2.75321,1.03683,0.009637,0.009637,0.009637
13,11513.4,1.55816,1.70523,1.17947,0.35222,0.33867,0.29058,0.15885,1.30788,3.63454,1.02942,0.009604,0.009604,0.009604
14,12416.1,1.5459,1.69019,1.17201,0.34681,0.34068,0.29419,0.16051,1.30062,3.44214,1.02955,0.009571,0.009571,0.009571
15,13310.7,1.54505,1.68179,1.17185,0.36298,0.33416,0.30011,0.16588,1.29046,4.04287,1.0247,0.009538,0.009538,0.009538
16,14200,1.53815,1.67803,1.17055,0.35958,0.34564,0.30196,0.16592,1.28514,2.47307,1.02075,0.009505,0.009505,0.009505
17,15098,1.53468,1.66605,1.16795,0.37594,0.34633,0.30984,0.17092,1.2811,2.37626,1.01828,0.009472,0.009472,0.009472
18,16005.3,1.52229,1.6506,1.16363,0.37347,0.34646,0.31185,0.1724,1.27829,2.42314,1.01828,0.009439,0.009439,0.009439
19,16937.8,1.52312,1.64619,1.16392,0.37935,0.3449,0.31126,0.17235,1.27591,2.68169,1.01728,0.009406,0.009406,0.009406
20,17967.5,1.52453,1.64435,1.16205,0.37905,0.35302,0.31555,0.17486,1.27095,2.64564,1.01423,0.009373,0.009373,0.009373
21,19037.6,1.51626,1.62635,1.15874,0.36954,0.35643,0.31523,0.17566,1.26765,2.35509,1.01247,0.00934,0.00934,0.00934
22,20096.1,1.51698,1.62072,1.16042,0.37728,0.35372,0.31779,0.17552,1.2657,2.1877,1.01089,0.009307,0.009307,0.009307
23,21086.3,1.51501,1.61274,1.15735,0.37683,0.35759,0.32086,0.17754,1.26442,2.12455,1.01091,0.009274,0.009274,0.009274
24,22205.8,1.51005,1.60377,1.15679,0.3778,0.35786,0.32081,0.1779,1.26468,2.09988,1.01163,0.009241,0.009241,0.009241
25,23208.4,1.51208,1.60638,1.1571,0.37455,0.35894,0.32188,0.17889,1.26348,2.02099,1.01118,0.009208,0.009208,0.009208
26,24308,1.50401,1.59618,1.15346,0.3751,0.35895,0.32228,0.17939,1.26321,2.00384,1.01122,0.009175,0.009175,0.009175
27,25365.1,1.50257,1.59438,1.15347,0.38049,0.35872,0.32358,0.18054,1.26186,2.01039,1.01053,0.009142,0.009142,0.009142
28,26404.6,1.50356,1.58614,1.1531,0.37988,0.35916,0.32523,0.18123,1.26187,1.98203,1.01051,0.009109,0.009109,0.009109
29,27517,1.49962,1.58181,1.15265,0.38089,0.36146,0.32517,0.18182,1.26034,2.01058,1.00973,0.009076,0.009076,0.009076
30,28615.4,1.49442,1.57167,1.14849,0.37924,0.36332,0.32678,0.1827,1.2599,1.98769,1.00944,0.009043,0.009043,0.009043
31,29638.4,1.49712,1.57116,1.14647,0.3759,0.36906,0.32661,0.18307,1.25965,1.99412,1.00891,0.00901,0.00901,0.00901
