epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/classify_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/classify_loss,lr/pg0,lr/pg1,lr/pg2
1,767.862,3.75396,5.50552,3.40156,2.25585,0.45293,0.10824,0.07255,0.0288,0.39037,0.88919,0.05105,2.33646,2.88608,2.05681,1.85928,0.00332731,0.00332731,0.00332731
2,1491.63,2.23079,2.63618,1.85087,1.75071,0.48231,0.12104,0.12261,0.0567,0.39037,0.88919,0.05105,1.95018,2.12009,1.72006,1.78381,0.00663866,0.00663866,0.00663866
3,2215.46,1.99146,2.24366,1.63681,1.70665,0.66817,0.14174,0.11195,0.04767,0.39037,0.88919,0.05105,2.12184,2.64479,1.84043,1.78522,0.00992801,0.00992801,0.00992801
4,2953.9,1.87771,2.089,1.54729,1.70009,0.36888,0.13132,0.11808,0.05866,0.39037,0.88919,0.05105,1.94156,2.27002,1.65499,1.7781,0.009901,0.009901,0.009901
5,3679.91,1.78904,1.96665,1.48891,1.69193,0.22846,0.21686,0.17428,0.09015,0.3909,0.88919,0.05157,1.71628,1.84861,1.50539,1.74476,0.009868,0.009868,0.009868
6,4405.61,1.73763,1.88246,1.44554,1.68341,0.22883,0.21299,0.17701,0.09301,0.42759,0.89831,0.09628,1.69324,1.84032,1.5078,1.7406,0.009835,0.009835,0.009835
7,5132.66,1.70391,1.83584,1.43431,1.67686,0.25874,0.23946,0.20805,0.10911,0.3982,0.89037,0.05862,1.62467,1.70716,1.44786,1.73195,0.009802,0.009802,0.009802
8,5864.99,1.67871,1.79335,1.41412,1.6684,0.31075,0.24194,0.20405,0.10816,0.41815,0.90002,0.09078,1.64056,1.72021,1.45028,1.78715,0.009769,0.009769,0.009769
9,6592.9,1.65798,1.76978,1.40035,1.66012,0.29057,0.28047,0.22574,0.11988,0.4115,0.90324,0.0826,1.58549,1.66427,1.42251,1.71749,0.009736,0.009736,0.009736
10,7329.12,1.64303,1.74794,1.3914,1.65927,0.33375,0.28619,0.24093,0.12893,0.40335,0.89873,0.06209,1.55157,1.64427,1.39766,1.71573,0.009703,0.009703,0.009703
11,8048.13,1.62728,1.73206,1.38331,1.65302,0.32412,0.30278,0.24819,0.13281,0.44272,0.91547,0.08831,1.53494,1.61786,1.39288,1.65672,0.00967,0.00967,0.00967
12,8782.95,1.61478,1.71065,1.37275,1.64632,0.34803,0.31167,0.26198,0.14139,0.44636,0.91461,0.09784,1.53192,1.58603,1.38374,1.63123,0.009637,0.009637,0.009637
13,9517.61,1.59931,1.69478,1.36207,1.63944,0.33928,0.32165,0.26988,0.14446,0.46256,0.91429,0.10677,1.52093,1.56776,1.37738,1.61827,0.009604,0.009604,0.009604
