epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/classify_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/classify_loss,lr/pg0,lr/pg1,lr/pg2
1,932.921,3.6783,5.35537,3.35602,2.3859,0.43178,0.09268,0.06099,0.02279,0.10245,0.77473,0.03246,2.4073,2.88373,2.10029,2.34907,0.00332731,0.00332731,0.00332731
2,1794.3,2.2327,2.66837,1.85509,2.32888,0.1824,0.14674,0.11528,0.05202,0.118,0.67174,0.03746,1.98288,2.21061,1.74294,2.2992,0.00663866,0.00663866,0.00663866
3,2598.72,2.00037,2.26552,1.64804,2.31302,0.79715,0.11356,0.10444,0.04799,0.03272,0.48734,0.03761,1.96821,2.28273,1.7021,2.28216,0.00992801,0.00992801,0.00992801
4,3426.82,1.8837,2.10875,1.55312,2.30818,0.39095,0.16972,0.14598,0.07493,0.03615,0.55331,0.03336,1.82223,2.00561,1.5969,2.24039,0.009901,0.009901,0.009901
5,4321.89,1.7978,1.9876,1.49791,2.30378,0.23572,0.2102,0.1757,0.09196,0.1106,0.76904,0.08017,1.70374,1.87618,1.50619,2.26092,0.009868,0.009868,0.009868
6,5159.26,1.74403,1.90439,1.45419,2.28725,0.23782,0.24001,0.19137,0.09944,0.09815,0.5796,0.07883,1.67809,1.79227,1.49469,2.24877,0.009835,0.009835,0.009835
7,6035.39,1.70799,1.85326,1.4411,2.27589,0.27428,0.25721,0.21011,0.109,0.12862,0.71369,0.0669,1.6397,1.71362,1.45422,2.21847,0.009802,0.009802,0.009802
8,6900.3,1.68003,1.81135,1.4191,2.25797,0.29103,0.27492,0.22102,0.11309,0.07123,0.64847,0.07518,1.60392,1.71449,1.43291,2.22434,0.009769,0.009769,0.009769
9,7755.99,1.6618,1.78624,1.4059,2.24409,0.30852,0.29824,0.23226,0.12021,0.13581,0.85754,0.08778,1.58488,1.65775,1.41986,2.17732,0.009736,0.009736,0.009736
10,8596.31,1.64909,1.76709,1.39592,2.24472,0.31571,0.29316,0.23967,0.1274,0.06554,0.7906,0.07637,1.55163,1.6498,1.40148,2.19399,0.009703,0.009703,0.009703
11,9467.49,1.62989,1.74986,1.38742,2.22137,0.30561,0.30847,0.24735,0.12974,0.12873,0.81828,0.11135,1.54535,1.6238,1.39586,2.14982,0.00967,0.00967,0.00967
12,10361.4,1.62104,1.72843,1.38038,2.20808,0.34521,0.30643,0.25753,0.13527,0.10019,0.8215,0.08748,1.54661,1.59275,1.39904,2.19888,0.009637,0.009637,0.009637
13,11231.4,1.60929,1.7112,1.37218,2.20428,0.33556,0.31408,0.26555,0.1431,0.13913,0.84038,0.10332,1.52024,1.58674,1.38408,2.13252,0.009604,0.009604,0.009604
14,12120.9,1.59956,1.69701,1.36645,2.20242,0.34981,0.32581,0.27501,0.14715,0.10802,0.70092,0.0857,1.50295,1.57321,1.37286,2.1347,0.009571,0.009571,0.009571
15,12998.3,1.58773,1.68616,1.35699,2.19004,0.34699,0.32674,0.27899,0.15082,0.14847,0.81452,0.11001,1.50614,1.54704,1.37547,2.12634,0.009538,0.009538,0.009538
16,13825.5,1.58852,1.67998,1.35515,2.18377,0.35409,0.32894,0.28467,0.15274,0.16767,0.82547,0.1234,1.49761,1.54729,1.36369,2.0532,0.009505,0.009505,0.009505
17,14715.4,1.57764,1.66905,1.35022,2.17137,0.35726,0.33325,0.29043,0.15776,0.16005,0.82332,0.12966,1.48578,1.54162,1.35557,2.10806,0.009472,0.009472,0.009472
18,15547.7,1.57321,1.65652,1.34562,2.15634,0.37261,0.33394,0.29595,0.16041,0.16209,0.83233,0.12972,1.48543,1.52103,1.35393,2.02999,0.009439,0.009439,0.009439
