epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/classify_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/classify_loss,lr/pg0,lr/pg1,lr/pg2
1,653.407,3.43485,4.74359,3.1227,2.23486,0.43884,0.0896,0.05728,0.01969,0.39047,0.88887,0.05114,2.60617,2.87241,2.24624,1.83151,0.00332731,0.00332731,0.00332731
2,1290.95,2.26612,2.66735,1.87016,1.7597,0.48651,0.13715,0.11881,0.05542,0.39037,0.88919,0.05105,1.99367,2.13836,1.73216,1.78232,0.00663866,0.00663866,0.00663866
3,1944.38,2.01362,2.2741,1.64573,1.70573,0.35842,0.17508,0.14014,0.06707,0.39037,0.88919,0.05105,1.86928,2.17572,1.63725,1.77352,0.00992801,0.00992801,0.00992801
4,2569.48,1.90438,2.1201,1.55824,1.70086,0.53192,0.17733,0.15945,0.07994,0.36516,0.89509,0.0916,1.80183,1.9447,1.56529,1.78228,0.009901,0.009901,0.009901
5,3188.5,1.81711,2.01107,1.50124,1.69625,0.27532,0.22075,0.17808,0.09128,0.39165,0.89144,0.0522,1.7101,1.84715,1.49302,1.77184,0.009868,0.009868,0.009868
6,3813.96,1.76645,1.93659,1.45775,1.68751,0.2248,0.23056,0.19076,0.09828,0.39305,0.89755,0.05385,1.66425,1.8033,1.47371,1.73194,0.009835,0.009835,0.009835
7,4436.5,1.73061,1.88664,1.44256,1.6851,0.24225,0.23032,0.18865,0.098,0.4071,0.89788,0.06581,1.64995,1.78786,1.45619,1.6944,0.009802,0.009802,0.009802
8,5063.02,1.70437,1.84528,1.41993,1.6793,0.28445,0.26522,0.20865,0.10992,0.39809,0.9041,0.05787,1.62705,1.71906,1.43436,1.71918,0.009769,0.009769,0.009769
9,5681.7,1.68558,1.81879,1.40935,1.67232,0.27044,0.28343,0.22237,0.11726,0.40324,0.90882,0.07072,1.59767,1.68036,1.41423,1.68753,0.009736,0.009736,0.009736
10,6299.55,1.66925,1.79829,1.39568,1.67103,0.29479,0.29323,0.22852,0.12043,0.40946,0.90313,0.06609,1.59845,1.67776,1.41493,1.68874,0.009703,0.009703,0.009703
