epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/classify_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/classify_loss,lr/pg0,lr/pg1,lr/pg2
1,642.87,3.4587,4.79089,3.15608,2.39025,0.27166,0.08259,0.05882,0.02165,0.21712,0.49603,0.04658,2.73081,2.76831,2.27529,2.37618,0.00332731,0.00332731,0.00332731
2,1296.35,2.2663,2.65513,1.87048,2.32782,0.17299,0.13851,0.12199,0.05395,0.04849,0.61628,0.03166,2.02029,2.12163,1.74803,2.29241,0.00663866,0.00663866,0.00663866
3,1958.53,2.02677,2.26681,1.65434,2.30894,0.3078,0.14062,0.11287,0.05256,0.08678,0.66445,0.06481,1.94476,2.35147,1.71478,2.26025,0.00992801,0.00992801,0.00992801
4,2593.74,1.9099,2.11735,1.56088,2.31142,0.42193,0.14711,0.1331,0.06571,0.03186,0.48563,0.01909,1.86001,2.03578,1.58992,2.26542,0.009901,0.009901,0.009901
5,3222.3,1.82413,2.01241,1.5022,2.30263,0.39141,0.19565,0.16323,0.08276,0.12304,0.75853,0.09219,1.7761,1.96739,1.53352,2.26756,0.009868,0.009868,0.009868
6,3849.67,1.76999,1.93526,1.45576,2.28947,0.42527,0.21354,0.18513,0.09562,0.15018,0.76164,0.09068,1.67348,1.80623,1.47371,2.21958,0.009835,0.009835,0.009835
7,4488.1,1.73272,1.88711,1.44096,2.27641,0.25008,0.24202,0.19563,0.10304,0.14342,0.69374,0.07331,1.63425,1.75596,1.42972,2.23554,0.009802,0.009802,0.009802
8,5122.94,1.70591,1.84412,1.41863,2.27225,0.26808,0.25265,0.20064,0.10533,0.13903,0.69438,0.09464,1.63091,1.74727,1.43525,2.25508,0.009769,0.009769,0.009769
9,5753.68,1.69035,1.81693,1.40958,2.25585,0.28012,0.27925,0.22237,0.11788,0.14793,0.74812,0.1113,1.59557,1.67074,1.41271,2.17078,0.009736,0.009736,0.009736
10,6378.15,1.67276,1.79645,1.39551,2.26083,0.29174,0.3117,0.23384,0.12276,0.08389,0.74962,0.06722,1.57816,1.66613,1.39717,2.25328,0.009703,0.009703,0.009703
11,7005.78,1.65573,1.77648,1.38904,2.24388,0.30035,0.29032,0.23591,0.12541,0.12154,0.72227,0.11192,1.57231,1.64691,1.40103,2.161,0.00967,0.00967,0.00967
12,7628.81,1.64457,1.75775,1.37916,2.23041,0.31046,0.31044,0.24948,0.13292,0.17067,0.84274,0.11305,1.56018,1.60795,1.39267,2.15427,0.009637,0.009637,0.009637
13,8249.09,1.62972,1.73647,1.36831,2.22528,0.31727,0.30755,0.25482,0.1371,0.14085,0.82793,0.10236,1.54137,1.60615,1.38009,2.16635,0.009604,0.009604,0.009604
14,8878.88,1.622,1.7325,1.36674,2.22075,0.32,0.31765,0.2568,0.13816,0.13452,0.78749,0.10365,1.5282,1.60071,1.37495,2.15867,0.009571,0.009571,0.009571
15,9500.55,1.61049,1.71826,1.3587,2.20613,0.31755,0.31509,0.26062,0.14088,0.15834,0.82182,0.10988,1.52234,1.57675,1.37132,2.14176,0.009538,0.009538,0.009538
16,10128.2,1.61198,1.70867,1.35484,2.19651,0.34906,0.31932,0.271,0.14556,0.18987,0.84799,0.13252,1.51207,1.57728,1.35459,2.11556,0.009505,0.009505,0.009505
17,10752.3,1.60354,1.69943,1.35144,2.18709,0.34372,0.32768,0.27464,0.14851,0.14772,0.79715,0.11527,1.5014,1.56301,1.35311,2.12132,0.009472,0.009472,0.009472
18,11384.4,1.59503,1.68676,1.34526,2.17213,0.35115,0.32669,0.27773,0.15057,0.15362,0.8436,0.11961,1.49842,1.54973,1.34813,2.1035,0.009439,0.009439,0.009439
19,12008.8,1.58936,1.6851,1.34479,2.16978,0.34481,0.33036,0.28033,0.15201,0.15211,0.8348,0.12155,1.49384,1.54722,1.34254,2.1374,0.009406,0.009406,0.009406
