epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/classify_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/classify_loss,lr/pg0,lr/pg1,lr/pg2
1,658.816,2.66462,3.46573,2.57146,2.17535,0.24956,0.20769,0.17836,0.08629,0.39037,0.8894,0.05105,1.80091,2.03898,1.70142,1.87166,0.00332731,0.00332731,0.00332731
2,1300.04,1.82364,2.07681,1.59,1.74935,0.27642,0.24056,0.19107,0.0969,0.39037,0.88919,0.05105,1.73607,1.85927,1.58239,1.76476,0.00663866,0.00663866,0.00663866
3,2029.95,1.78587,1.93407,1.50251,1.70185,0.26797,0.23146,0.16995,0.08352,0.40581,0.89005,0.06511,1.7779,1.93336,1.59107,1.74468,0.00992801,0.00992801,0.00992801
4,2756.52,1.75418,1.87573,1.46404,1.6825,0.27438,0.25609,0.20574,0.10741,0.41332,0.90775,0.08912,1.68233,1.74253,1.48455,1.73816,0.009901,0.009901,0.009901
5,3475.93,1.68061,1.78333,1.41168,1.65956,0.31622,0.29576,0.24707,0.12806,0.39498,0.90903,0.05935,1.61267,1.67295,1.42706,1.72296,0.009868,0.009868,0.009868
6,4208.42,1.63632,1.72342,1.37475,1.64499,0.32041,0.31333,0.25637,0.13438,0.42309,0.90485,0.08032,1.57803,1.65483,1.40262,1.68274,0.009835,0.009835,0.009835
7,4938.16,1.60417,1.68978,1.36099,1.63649,0.3612,0.31092,0.26948,0.14056,0.40442,0.89187,0.0633,1.56886,1.60149,1.3948,1.72131,0.009802,0.009802,0.009802
8,5658.61,1.57801,1.65325,1.34075,1.62644,0.35398,0.32031,0.28039,0.14844,0.41407,0.91279,0.07924,1.52627,1.58934,1.3611,1.66915,0.009769,0.009769,0.009769
9,6375.62,1.56331,1.62836,1.32849,1.61651,0.37474,0.33257,0.29372,0.15783,0.41043,0.9145,0.07237,1.51258,1.55304,1.34631,1.67159,0.009736,0.009736,0.009736
10,7110.89,1.54529,1.61186,1.31606,1.61428,0.36613,0.34533,0.30289,0.16537,0.41204,0.91161,0.06855,1.49426,1.54268,1.34031,1.65004,0.009703,0.009703,0.009703
11,7835.48,1.53411,1.59373,1.31173,1.60416,0.38053,0.35443,0.31186,0.16802,0.41289,0.90968,0.07104,1.48906,1.52143,1.32673,1.67258,0.00967,0.00967,0.00967
12,8560.14,1.52161,1.57682,1.29921,1.59426,0.39177,0.34685,0.31898,0.17446,0.40721,0.92362,0.08268,1.48007,1.49739,1.3257,1.63313,0.009637,0.009637,0.009637
13,9292.38,1.50706,1.55909,1.28972,1.58219,0.39554,0.35682,0.32022,0.17613,0.41354,0.91729,0.07574,1.4681,1.49865,1.3226,1.66175,0.009604,0.009604,0.009604
14,10021.1,1.49936,1.55296,1.28301,1.58122,0.40771,0.36226,0.32725,0.17861,0.41493,0.91804,0.07427,1.44744,1.50346,1.29891,1.62145,0.009571,0.009571,0.009571
15,10748.5,1.48966,1.54022,1.27524,1.56847,0.39078,0.36875,0.32848,0.1812,0.43092,0.92083,0.08421,1.44621,1.47121,1.29979,1.60595,0.009538,0.009538,0.009538
16,11483.5,1.49084,1.52808,1.26872,1.56283,0.41224,0.36675,0.33952,0.18677,0.42984,0.91708,0.08591,1.43701,1.46539,1.28783,1.61211,0.009505,0.009505,0.009505
17,12202,1.48384,1.5285,1.26273,1.55877,0.41318,0.37704,0.34717,0.19188,0.42427,0.92062,0.08064,1.42674,1.45878,1.27879,1.62107,0.009472,0.009472,0.009472
18,12941,1.47817,1.51249,1.2523,1.54976,0.41556,0.37263,0.34364,0.19255,0.41837,0.91375,0.07679,1.42621,1.45262,1.27652,1.61699,0.009439,0.009439,0.009439
19,13669.8,1.47333,1.51171,1.25055,1.54478,0.42448,0.37302,0.34734,0.19427,0.42233,0.91869,0.07715,1.42078,1.44762,1.27113,1.61206,0.009406,0.009406,0.009406
20,14414,1.46977,1.50414,1.24147,1.53965,0.42492,0.37992,0.35268,0.19642,0.41536,0.91794,0.07383,1.41824,1.43972,1.26714,1.61392,0.009373,0.009373,0.009373
21,15154.6,1.46812,1.49338,1.23425,1.53109,0.43337,0.38647,0.35799,0.19969,0.42019,0.92083,0.08082,1.41449,1.43404,1.26159,1.60722,0.00934,0.00934,0.00934
22,15895.5,1.45942,1.48415,1.22949,1.52588,0.42553,0.3891,0.3621,0.20173,0.42491,0.91826,0.08591,1.41156,1.42928,1.25687,1.61664,0.009307,0.009307,0.009307
23,16628,1.45382,1.4734,1.2227,1.51762,0.42499,0.38812,0.3622,0.20259,0.43403,0.91515,0.08544,1.40516,1.4306,1.24898,1.60222,0.009274,0.009274,0.009274
24,17355.7,1.4528,1.47105,1.2161,1.51896,0.42857,0.39626,0.36424,0.20451,0.4203,0.91214,0.0781,1.40553,1.4246,1.24517,1.62492,0.009241,0.009241,0.009241
25,18096,1.44514,1.44832,1.21026,1.50672,0.42918,0.39593,0.36453,0.20546,0.42191,0.91322,0.07859,1.40435,1.42034,1.2427,1.61703,0.009208,0.009208,0.009208
26,18827.2,1.44243,1.45094,1.20684,1.5031,0.4366,0.39012,0.3663,0.20656,0.4277,0.91504,0.08637,1.40141,1.4202,1.23963,1.6034,0.009175,0.009175,0.009175
27,19579.8,1.43503,1.44232,1.20236,1.50101,0.44134,0.39322,0.36933,0.20824,0.43778,0.91547,0.09444,1.40085,1.41654,1.2375,1.58976,0.009142,0.009142,0.009142
