epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/classify_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/classify_loss,lr/pg0,lr/pg1,lr/pg2
1,658.587,2.66238,3.46191,2.56921,2.3879,0.24653,0.21052,0.17454,0.08454,0.10652,0.57209,0.04646,1.81878,1.97672,1.71095,2.35408,0.00332731,0.00332731,0.00332731
2,1299.22,1.82416,2.07853,1.58924,2.32849,0.28737,0.24702,0.19658,0.09934,0.13474,0.74458,0.08243,1.7242,1.90543,1.57231,2.29942,0.00663866,0.00663866,0.00663866
3,2030.02,1.78373,1.93041,1.50265,2.29205,0.31736,0.2193,0.15885,0.07855,0.06286,0.77784,0.07145,1.78202,2.02499,1.5826,2.24157,0.00992801,0.00992801,0.00992801
4,2756.15,1.75153,1.87562,1.45912,2.25165,0.33091,0.23733,0.19472,0.09862,0.04591,0.46557,0.03869,1.7119,1.82675,1.50184,2.3207,0.009901,0.009901,0.009901
5,3476.22,1.68148,1.78546,1.41323,2.22094,0.31116,0.29638,0.24228,0.12554,0.07659,0.79554,0.09698,1.61346,1.69679,1.4245,2.20001,0.009868,0.009868,0.009868
6,4207.34,1.63749,1.72475,1.37667,2.19216,0.327,0.31393,0.25922,0.13558,0.11156,0.78889,0.10225,1.58012,1.62533,1.40859,2.14396,0.009835,0.009835,0.009835
7,4937.5,1.6041,1.68918,1.36249,2.17504,0.36032,0.30757,0.25952,0.13455,0.15716,0.83458,0.10172,1.56174,1.62699,1.38535,2.19046,0.009802,0.009802,0.009802
8,5657.03,1.57768,1.64953,1.34013,2.15071,0.3523,0.32701,0.28044,0.14727,0.1327,0.75263,0.10888,1.51985,1.59063,1.3509,2.11613,0.009769,0.009769,0.009769
9,6375.56,1.56225,1.62764,1.32765,2.12044,0.36345,0.34541,0.29993,0.16305,0.1371,0.82439,0.13167,1.51355,1.53763,1.35175,2.0924,0.009736,0.009736,0.009736
10,7110.48,1.54599,1.61276,1.31747,2.12829,0.3669,0.36061,0.30687,0.16671,0.10867,0.79007,0.10291,1.50574,1.52933,1.33865,2.14074,0.009703,0.009703,0.009703
11,7834.44,1.53461,1.59664,1.312,2.10204,0.37228,0.34986,0.30887,0.16799,0.13452,0.80659,0.12166,1.49163,1.52887,1.33517,2.0796,0.00967,0.00967,0.00967
12,8560.12,1.52049,1.5781,1.30029,2.08574,0.3904,0.34429,0.31757,0.17424,0.14696,0.88307,0.12757,1.47884,1.49719,1.32043,2.03596,0.009637,0.009637,0.009637
13,9291.97,1.5099,1.5649,1.29085,2.0694,0.39003,0.35524,0.32029,0.17776,0.15083,0.82493,0.1401,1.4589,1.49465,1.31237,2.06275,0.009604,0.009604,0.009604
14,10022,1.50049,1.55554,1.28368,2.06174,0.39579,0.36263,0.32624,0.17837,0.10631,0.75016,0.10623,1.4539,1.48477,1.30522,2.10017,0.009571,0.009571,0.009571
15,10747.6,1.49181,1.54519,1.2738,2.04446,0.40125,0.363,0.33187,0.1832,0.14375,0.79715,0.12915,1.44089,1.47605,1.29725,2.08381,0.009538,0.009538,0.009538
16,11482.8,1.49062,1.53544,1.26714,2.02325,0.40703,0.36056,0.33937,0.18591,0.1445,0.80369,0.13215,1.4331,1.475,1.28442,2.03589,0.009505,0.009505,0.009505
17,12201.5,1.48368,1.53067,1.26039,2.01034,0.40735,0.37923,0.34484,0.18994,0.12379,0.73911,0.11914,1.43057,1.4624,1.28078,2.13332,0.009472,0.009472,0.009472
18,12940.7,1.47957,1.51712,1.25222,1.99164,0.41218,0.37599,0.34775,0.19288,0.18548,0.85025,0.15198,1.42723,1.45626,1.27341,2.04574,0.009439,0.009439,0.009439
19,13669.5,1.47223,1.51501,1.24655,1.98256,0.40691,0.37415,0.34763,0.19423,0.17089,0.83104,0.1468,1.41843,1.45289,1.26313,2.08287,0.009406,0.009406,0.009406
20,14413.6,1.46996,1.50388,1.23685,1.94775,0.40298,0.38513,0.3501,0.19574,0.19052,0.84252,0.16301,1.42061,1.44359,1.26069,2.05345,0.009373,0.009373,0.009373
21,15155.4,1.46555,1.49363,1.23132,1.9337,0.42608,0.37157,0.35344,0.19768,0.17475,0.81249,0.15053,1.41511,1.44038,1.25656,2.05834,0.00934,0.00934,0.00934
22,15895.5,1.46032,1.48573,1.22861,1.92042,0.40814,0.38638,0.35607,0.19917,0.17346,0.85389,0.15331,1.41182,1.43508,1.2528,2.04777,0.009307,0.009307,0.009307
23,16627.4,1.45342,1.47753,1.22002,1.91701,0.41332,0.3825,0.35757,0.2003,0.19449,0.86366,0.16499,1.4081,1.43529,1.24774,2.04077,0.009274,0.009274,0.009274
24,17354.9,1.45097,1.47159,1.21754,1.8954,0.41612,0.38895,0.3607,0.20257,0.17217,0.82493,0.14827,1.40835,1.42671,1.24782,2.0701,0.009241,0.009241,0.009241
25,18095.5,1.44548,1.45221,1.21172,1.86463,0.43021,0.38814,0.36279,0.20458,0.18312,0.83737,0.15579,1.40466,1.42241,1.24424,2.06491,0.009208,0.009208,0.009208
26,18827.2,1.44314,1.45148,1.20516,1.86617,0.43004,0.39298,0.36339,0.20491,0.18784,0.85282,0.16225,1.4025,1.42275,1.23984,2.06416,0.009175,0.009175,0.009175
27,19578.6,1.43738,1.44478,1.20289,1.85354,0.43459,0.39165,0.36543,0.20609,0.18269,0.84563,0.15929,1.40097,1.4215,1.23707,2.07831,0.009142,0.009142,0.009142
28,20314.2,1.42993,1.43537,1.19581,1.84684,0.42677,0.39574,0.36473,0.20571,0.17604,0.84306,0.15583,1.40067,1.42086,1.23442,2.08186,0.009109,0.009109,0.009109
29,21057.9,1.42515,1.42461,1.19104,1.83651,0.42282,0.39581,0.36606,0.2061,0.18676,0.85604,0.16134,1.4004,1.41843,1.23131,2.08215,0.009076,0.009076,0.009076
30,21793.1,1.42517,1.41646,1.18355,1.809,0.42445,0.39834,0.36598,0.2063,0.19256,0.86151,0.16469,1.39939,1.41546,1.22857,2.08233,0.009043,0.009043,0.009043
31,22517.4,1.4235,1.41696,1.18346,1.78864,0.43094,0.39421,0.36728,0.20767,0.19449,0.8613,0.16591,1.39791,1.41399,1.22629,2.08111,0.00901,0.00901,0.00901
32,23255.3,1.42028,1.40878,1.18192,1.79094,0.4287,0.39783,0.3688,0.20889,0.19534,0.86269,0.16665,1.39648,1.41275,1.22406,2.07747,0.008977,0.008977,0.008977
